ID,N°,Tipo,T,Quechua,Traducción,Sentimiento
B001,1,Palabra,W,Ch’arwi,Desorden,ABURRIDO
B002,2,Palabra,W,Runa,Persona,ABURRIDO
B003,3,Palabra,W,Chanin,Precio,ABURRIDO
B004,4,Palabra,W,Puka,Rojo,ABURRIDO
B005,5,Palabra,W,Hallp’a,Tierra,ABURRIDO
B006,6,Palabra,W,Rikuq,Testigo,ABURRIDO
B007,7,Palabra,W,Wasimasi,Vecino de casa,ABURRIDO
B008,8,Palabra,W,Tullu,Flaco,ABURRIDO
B009,9,Palabra,W,Walla,Policía,ABURRIDO
B010,10,Palabra,W,Murmu,Mediano,ABURRIDO
B011,11,Palabra,W,Amu,Mudo,ABURRIDO
B012,12,Palabra,W,Aqo,Arena,ABURRIDO
B013,13,Palabra,W,Ch’apra,Maleza,ABURRIDO
B014,14,Palabra,W,Ch’uru,Caracol,ABURRIDO
B015,15,Palabra,W,Hallmay,Aporque,ABURRIDO
B016,16,Palabra,W,Chakmay,Preparado de tierra para la siembra,ABURRIDO
B017,17,Palabra,W,Quichwaruna,Quechuas,ABURRIDO
B018,18,Palabra,W,Respetuwan,Respeto,ABURRIDO
B019,19,Palabra,W,Rurukuna,Granos,ABURRIDO
B020,20,Palabra,W,Yupaykuna,Numeros,ABURRIDO
B021,21,Palabra,W,Suchi,Remesa/encargo,ABURRIDO
B022,22,Palabra,W,T'ika,flor,ABURRIDO
B023,23,Palabra,W,Uywanakuy,Crianza mutua,ABURRIDO
B024,24,Palabra,W,T'aqwiy,Investigar,ABURRIDO
B025,25,Palabra,W,Suyu,País,ABURRIDO
B026,26,Palabra,W,llulla,Mentira,ABURRIDO
B027,27,Palabra,W,Chinkakuq,Fugitiva,ABURRIDO
B028,28,Palabra,W,Onqoy,Embarazada,ABURRIDO
B029,29,Palabra,W,Qorqoy,Roncar,ABURRIDO
B030,30,Palabra,W,Sayay,Parar,ABURRIDO
B031,31,Palabra,W,Nanay,Adolorecer,ABURRIDO
B032,32,Palabra,W,Chhulliy,Estornudar,ABURRIDO
B033,33,Palabra,W,Qawalayay,"Curiosear, moscorear",ABURRIDO
B034,34,Palabra,W,Kumpay,Tumbar,ABURRIDO
B035,35,Palabra,W,Laq'apakuy,Tropezar,ABURRIDO
B036,36,Palabra,W,Qhawakuy,Mirarse en espejo,ABURRIDO
B037,37,Palabra,W,Thaltuy,Babear,ABURRIDO
B038,38,Palabra,W,P’enqachiy,"Avergonzar, causar vergüenza",ABURRIDO
B039,39,Palabra,W,Q’ellachay,Cicatrizar,ABURRIDO
B040,40,Palabra,W,Qellakuy,"Flojear, ociosidad",ABURRIDO
B041,41,Palabra,W,Chutay,Alargar. Estirar,ABURRIDO
B042,42,Palabra,W,T’akay,Derramar,ABURRIDO
B043,43,Oración,S,Pata-patakunapi sarata tarpuranku,Cultivaban en andenes el maíz,ABURRIDO
B044,44,Oración,S,Kaqninchiskunamanta yachasunchis,Aprendamos sobre patrimonio,ABURRIDO
B045,45,Oración,S,Asnuyki qaparqachayshan,Tú burro está rebuznando,ABURRIDO
B046,46,Oración,S,Truchakuna mayupi kashan,Hay truchas en el río,ABURRIDO
B047,47,Oración,S,Mesa patapi tiyakushan,Está sentado encima de la mesa,ABURRIDO
B048,48,Oración,S,Churakun huk punchuwan,Se puso un poncho,ABURRIDO
B049,49,Oración,S,Chay sarusqapa sutinmi yupi,Esas pisadas se conocen con el nombre de huellas,ABURRIDO
B050,50,Oración,S,Kawallupin tiyuyki hamusqa,Tú tío vino a caballo,ABURRIDO
B051,51,Oración,S,Pukllanaykiraykun hamunki,Vienes porque quieres jugar,ABURRIDO
B052,52,Oración,S,Llant’ata rantirani,Compré la leña,ABURRIDO
B053,53,Oración,S,Papata Rosa rantinqa,Rosa comprará papa,ABURRIDO
B054,54,Oración,S,Wasinpi takiyta yachachiwan,Me enseña a cantar en su casa,ABURRIDO
B055,55,Oración,S,Anselmo Juanpiwan sara t'ipiq rinqaku,Anselmo y Juan irán a la cosecha de maíz,ABURRIDO
B056,56,Oración,S,Yaku rupha kashan,El agua está caliente,ABURRIDO
B057,57,Oración,S,Huk'uchakuna sarata anchata mikhun,Los ratones comen mucho maíz,ABURRIDO
B058,58,Oración,S,Wawaykita q'epirikuy,Cárgala al bebé,ABURRIDO
B059,59,Oración,S,Tarukakuna orqokunapi tiyan,El venado vive por los cerros,ABURRIDO
B060,60,Oración,S,Arequipa t'antata qosqayki,Le doy pan de Arequipa,ABURRIDO
B061,61,Oración,S,Ñañantinpura munanakunku,Entre hermanas se quieren,ABURRIDO
B062,62,Oración,S,Pishqa wawayuq kani,Tengo cinco hijos,ABURRIDO
B063,63,Oración,S,Nisqanmanhina,De acuerdo a lo que dice,ABURRIDO
B064,64,Oración,S,Noqa papata mikhushani,Yo estoy comiendo la papa,ABURRIDO
B065,65,Oración,S,Rivistata qhawashani,Estoy mirando una revista,ABURRIDO
B066,66,Oración,S,Noqanchis yachaywasi ukhupi kashanchis,Nosotros estamos en el salón,ABURRIDO
B067,67,Oración,S,Runa chakra ukhupi puriykachan,Esa persona camina sin rumbo en nuestra chacra,ABURRIDO
