quechua,spanish
ch'arwi,desorden
runa,persona
chanin,precio
puka,rojo
hallp'a,tierra
rikuq,testigo
wasimasi,vecino de casa
tullu,flaco
walla,policía
murmu,mediano
amu,mudo
aqo,arena
ch'apra,maleza
ch'uru,caracol
hallmay,aporque
chakmay,preparado de tierra para la siembra
quichwaruna,quechuas
respetuwan,respeto
rurukuna,granos
yupaykuna,numeros
suchi,remesa/encargo
t'ika,flor
uywanakuy,crianza mutua
t'aqwiy,investigar
suyu,país
llulla,mentira
chinkakuq,fugitiva
onqoy,embarazada
qorqoy,roncar
sayay,parar
nanay,adolorecer
chhulliy,estornudar
qawalayay,"curiosear ,  moscorear"
kumpay,tumbar
laq'apakuy,tropezar
qhawakuy,mirarse en espejo
thaltuy,babear
p'enqachiy,"avergonzar ,  causar vergüenza"
q'ellachay,cicatrizar
qellakuy,"flojear ,  ociosidad"
chutay,alargar .  estirar
t'akay,derramar
pata-patakunapi sarata tarpuranku,cultivaban en andenes el maíz
kaqninchiskunamanta yachasunchis,aprendamos sobre patrimonio
asnuyki qaparqachayshan,tú burro está rebuznando
truchakuna mayupi kashan,hay truchas en el río
mesa patapi tiyakushan,está sentado encima de la mesa
churakun huk punchuwan,se puso un poncho
chay sarusqapa sutinmi yupi,esas pisadas se conocen con el nombre de huellas
kawallupin tiyuyki hamusqa,tú tío vinocaballo
pukllanaykiraykun hamunki,vienes porque quieres jugar
llant'ata rantirani,compré la leña
papata rosa rantinqa,rosa comprará papa
wasinpi takiyta yachachiwan,me enseñacantar en su casa
anselmo juanpiwan sara t'ipiq rinqaku,anselmojuan iránla cosecha de maíz
yaku rupha kashan,el agua está caliente
huk'uchakuna sarata anchata mikhun,los ratones comen mucho maíz
wawaykita q'epirikuy,cárgala al bebé
tarukakuna orqokunapi tiyan,el venado vive por los cerros
arequipa t'antata qosqayki,le doy pan de arequipa
ñañantinpura munanakunku,entre hermanas se quieren
pishqa wawayuq kani,tengo cinco hijos
nisqanmanhina,de acuerdolo que dice
noqa papata mikhushani,yo estoy comiendo la papa
rivistata qhawashani,estoy mirando una revista
noqanchis yachaywasi ukhupi kashanchis,nosotros estamos en el salón
runa chakra ukhupi puriykachan,esa persona camina sin rumbo en nuestra chacra
mamay mukhuta tukuylawman apaykachashan,nuestra mama lleva la semilla de aqui para allá
qaqa qaqapiqa manan pipas tiyanchu,en los roquedales nadie vive
papa chakramanta lliw qorakunata orqosunchis,de la chacra de papas hay que deshierbar todas las malezas
munapayasqa runakunaqa mana allin rikusqan,las personas desaseadas no son bien vistas
gary leandron sullk'a wawaypa sutinqa,mi hijo menor se llama gary leandro͖
payqa juliacapi paqariran,el nació en juliaca
qhepa p'unchawkunapi icha llaqta umalliq kayman,en los días venideros tal vez sea autoridad
hap'iy yachaq hinallataq ch'illiku mikhuq alqokunaqa wirallañan wiñanku,los perros que cazancomen grillos se mantienen gordos
huk payacha wirullata hanch'uq,una abuelita que sólo come caña
muyu muyu wayraqa hallp´ata huqarisparaq muyun,el remolino levantando la tierra produce polvo
noqaykurayku chay huñunakuyman rinki,por favor asisteesa reunión en representación nuestra
chaymantaña lapitutaqa rantisunchis,ya después compraremos el sombrero
kay raqachaqa rumumanmi rikch'akun,esta racacha se parecela yuca
qapariqtinñan khatatatayta saqerun,cuando se le gritó dejó de delirar
tawa chunka watayuq kani,tengo cuarenta años
manaraqmi imatapas ruwankuchu,todavía no han hecho nada
llaqtamanmi seqaykapunku,se fueron hacia el pueblo
paykunan sinchikunawan rimashan,ellos están hablando con el policía
chay llaqtaqqa pillpintun sutin,ese lugar se llamaba pillpintu
chayqa manan lloq'e makichu,esa no es la mano izquierda
chay isankaqa mana aysanayuqmi,esa canasta no tiene asa
waka qaramantan tinya ruwakun,del cuero de vaca se hace tambor
kay huñunasqa runakunaqqa tigren sutinku,este grupo se llama los tigres
kaypiqa lliw kamachikuykunatan uyarinayki,aquí debes obedecer todas las órdenes que escuches
hatun mankaman hich'ay unuta hinaspa astawan apamuy,"vacía el aguala olla grande ,  luego trae más agua"
