qc,sp
"galletakunataqa rodillowan ñut’uspa chullusqa mantequillawan chaqruspa, masata compacta nisqa tarinaykikama.
Huk moldeman churaspa urayman ñit’iy, huklla kanankama. 20 minutupaq refrigeradorpi churana.
Challwa Chupa Hidratación
Colápez nisqataqa 6 cuchara chiri yakupi chulluchispa hidratar. Chaymanta, microondas nisqapi 10 segundos ruphaykachina.
Relleno
Queso crema nisqataqa maqchispa 1/2 lata LECHE CONDENSADOR nisqatapas, 3 cuchara EL MANJAR  nisqatapas yapaykusun
chaymanta chay hidratado colapez. Chaymanqa 1/2 taza  MILK CREAM nisqatapas yapaykuy, chaytaqa envolver hinam yapaykusun.
Tukuy ima chaqrusqaña kaptinqa, llapa wakichisqanchikta basewan moldeman hich’aykuspa, 1 horata refrigeradorpi churana, tukuyninpi allin takyasqa kanankama.
Carpeta
Topping nisqapaqqa, puchuq DELICATE nisqatam 2 cuchara mosoq lechewan chaqruna, pisillata llampuyanankama. Kay chaqrusqawan queso tortata tapaspa 30 minututa yapamanta chiriyachina.
Puka bayakunawan sumaqchay. Aypuy.","Moler las galletas con un rodillo y mezclarlas con la mantequilla derretida hasta obtener una masa compacta.
Colocar en un molde y presionar hacia el fondo hasta que quede parejo. Refrigerar por 20 minutos.
Hidratación de Colapez
Hidratar el colapez diluyéndolo en 6 cucharadas de agua fría. Luego, calentar por 10 segundos en el microondas.
Relleno
Batir el queso crema y añadir 1/2 lata de LECHE CONDENSADA, 3 cucharadas de EL MANJAR
y el colapez hidratado. Agregar 1/2 taza de CREMA DE LECHE de manera envolvente.
Una vez que todo esté mezclado, verter toda la preparación en el molde con la base y refrigerar por 1 hora hasta que esté completamente sólido.
Cubierta
Para la cubierta, mezclar EL MANJAR restante, con 2 cucharadas de leche fresca hasta lograr aligerarlo un poco. Cubrir el cheesecake con esta mezcla y enfriar nuevamente por 30 minutos.
Decorar con frutos rojos. Servir."
"Huk mankapi aceiteta churaspa angelpa chukchanta q’illuyachispa, huk laduman churaspa.
Chay kikin mankapi, añuta, Chicken Cube nisqawan ima churana, 1 minutu yanuna. Chaymanqa arrozta, pasastapas yapaykusun.
Allinta chaqruspa gaseosata yapaykusun. Yaqa 15 minutukunata yanuna. Chaymanqa pecankunata yapaykuy sumaqchanapaq.","Colocar en una olla el aceite y dorar el cabello de ángel, reservar.
En la misma olla, agregar el ajo y el Cubo de Gallina, cocinar por 1 minuto. Incorporar el arroz y las pasas.
Mezclar bien y echar la gaseosa. Cocinar por 15 minutos aproximadamente. Agregar las pecanas para decorar."
"Zanahoriataqa qaranmanta hurquspa kuchuna. Siwullata, tomateta, papata ima qaranta hurquspa kuchuna.
Wallpa kuchukunata mayllana, ch’akichispa, timpuchina. Chaykunataqa ruphay aceitewan mankapi rawrachina. Chaykunata hurquy.
Wallpa q’illuyachisqa kikin mankapi, ch’uñuta ñut’usqa ajowan kuska rawrachina. Chaymanqa GALLINA CUBE nisqatapas, 3 cuchara LA ROJITA nisqatapas tomatetapas yapaykusun. 5 minutupaq yanuna.
Wallpa kuchukunata mankaman kutichiy. 2 vaso unuta yapaykuspa 5 minutu yanuna.
Chaymanqa guisantes, zanahoria, laurel raphi, papa kuskanpi kuchusqata churana. Chawpi ninapi 10 minututawan yanuna, aswan rakhu llimp’iyuq kanankama.
Huk kuti wakichisqaña kaptinqa, laurel raphita hurquna. Huk vaso arrozwan kuska haywarina.","Pelar y cortar la zanahoria en rodajas. Pelar y cortar la cebolla en pluma, los tomates y la papa en trozos.
Lavar, secar y salpimentar las presas de pollo. Freírlas en una olla con el aceite caliente. Retirarlas.
En la misma olla donde se doró el pollo, freír la cebolla junto con el ajo molido. Agregar un CUBO GALLINA, 3 cucharadas de LA ROJITA y los tomates. Cocinar por 5 minutos.
Retornar las presas de pollo a la olla. Agregar 2 tazas de agua y cocinar por 5 minutos.
Agregar las arvejas, las zanahorias, la hoja de laurel y las papas cortadas por la mitad. Cocinar por 10 minutos más a fuego medio hasta obtener una textura más espesa.
Una vez listo, retirar la hoja de laurel. Servir acompañado de una taza de arroz."
"Wallpataqa huch’uy t’aqaman kuchuspa chino ch’uñutataq llañu phatmaman kuchuspa.
Huk sartenpi aceiteta q’usñinankama ruphaykachina. Wallpa phatmakunata, holantaotapas churaspa iskay minututa q’uñichina. Uhukunata maqaspa sartenman yapaykusun, chaymantataq arrozta allinta chaqruspa. Chaymanqa silao, iskay  Sabor Gallina cubos, habas chinas, cebolla china nisqakunata churaspa arroz tukuyta ch’akinankama q’uñichina. Iskay t’aqapi q’uñichina, q’uñi kananpaq.
Chaufa arroztaqa salteado verdurakunawan kuska haywarina.","Cortar el pollo en trozos pequeños y la cebolla china en rodajas finas.
Calentar el aceite en una sartén hasta humear. Agregar los trozos de pollo, el holantao y saltear por dos minutos. Batir los huevos y agregarlos a la sartén, seguidamente el arroz y mezclar bien. Agregar el sillao, dos cubitos  Sabor Gallina, el frijol chino, la cebolla china y saltear hasta que el arroz se haya secado por completo. Se recomienda realizar el salteado en dos partes para mantener la temperatura alta.
Servir el arroz chaufa acompañado de las verduras salteadas."
"Huk mankapi 5 vaso unuta timpuchispa ruphaypi waqaychana, chaynapi necesitaptin risottoman yapanaykipaq.
Risotto nisqa
Huk mankapi chawpi ninapi 1/2 cuchara mantequillata aceitunas aceitewan kuska ruphaykachina. Chaymanqa yuraq ch’uñuta huch’uy kuchukunapi kuchusqata churaspa, tapaspa sudorninta saqey, ch’uya kanankama. Chayman chayaspaqa yuraq vinota yapaykuspa suyay yaqa llapanta ch’akinankama.
Arrozta yapaykusun hinaspa ruphayman mana yaykuq espátula nisqawan allinta chaqruna. Chaymanqa 2 vaso rupha yakuta churaspa espátulawan kuyurichina. 2 minutu yanuna, arroz yaqa llapan yakuta ch’unqaptinqa, puchuq vaso unuta hukmanta hukmanta yapaykusun.
Huk kuti hunt’a wayk’usqaña, risottota ninamanta hurquna. Chaymanqa kachita, 1 lata MILK CREAM nisqatapas, lime jugota, queso parmesano nisqatapas yapaykusun.
Sauteado Lamar quchamanta mikhuykuna
Mantequillayuq sartenpi mama quchamanta mikhuykunata, tomate cherryta, tomillota ima ruphaykachina. 1 minutu yanuspa tomillota hurquna.
Risottota haywarispa, hawanman salteado lamar quchamanta mikhuykunata, perejil picasqata, pisi caviartapas churana.","En una olla poner 5 tazas de agua a hervir y mantenerla caliente para poder agregarla al risotto cuando lo requiera
Risotto
En otra olla a fuego medio calentar 1/2 cucharada de mantequilla junto con el aceite de oliva. Agregar la cebolla blanca picada en cubos pequeños, tapar y dejar sudar hasta que se vuelvan transparentes. Al llegar a ese punto agregar el vino blanco y esperar hasta que se evapore casi por completo.
Agregar el arroz y con la ayuda de una espátula resistente al calor, mezclar bien. Agregar 2 tazas de agua caliente y remover con la espátula. Dejar cocinar por 2 minutos y cuando el arroz haya absorbido casi todo el agua, agregar las tazas de agua restantes una por una.
Una vez cocido por completo, retirar el risotto del calor. Agregar la sal, 1 lata de CREMA DE LECHE, el zumo de lima y el queso parmesano.
Mariscos Salteados
En una sartén con mantequilla saltear los mariscos, el tomate cherry y el tomillo. Cocinar por 1 minuto y retirar el tomillo.
Servir el risotto y agregar encima los mariscos salteados, perejil picado y un poco de caviar."
"Yanukusun!
 Aychataqa suni llimp’ikunaman kuchuspa. Ch’uñuta p’altaman kuchuspa, tomatetataq cuñaman, q’illu pimentutataq llimp’iman kuchuspa.
 Fideokunataqa 10 minutupaq hatun mankapi timpusqa yakuman yapaspa partiraq. Sapa kuti kuyurichina mana k’askanakunanpaq. Ch’akichiy hinaspa waqaychay.
Stir-fry
Chay aceiteta sartenpi sinchi ninapi ruphaykachina. Aychata 4 minututa q’uñichispa, ch’uñuta yapaykuspa 1 minututawan q’uñichina. Chaymanqa cilantro raphikuna phatmasqa, yanusqa pasta, vinagre, silao,  Meat Flavor cubo, q’illu chili pimienta, tukupaypitaq tomate ima churana. Iskay t’aqapi q’uñichina, q’uñi kananpaq.
Allin kuchusqa cilantro raphikunawan sumaqchana. Aypuy.","¡A cocinar!
 Cortar la carne en tiras largas. Cortar la cebolla en pluma, el tomate en gajos y el ají amarillo en tiras.
 Sancochar el tallarín agregándolo a una olla grande con agua hirviendo durante 10 minutos. Removerlo de vez en cuando para evitar que se pegue. Escurrir y reservar.
Salteado
Calentar el aceite en una sartén a fuego alto. Saltear la carne durante 4 minutos, agregar la cebolla y saltear 1 minuto más. Agregar las hojitas de culantro picadas, la pasta cocida, el vinagre, el sillao, un cubo  Sabor Carne, el ají amarillo y finalmente el tomate. Se recomienda realizar el salteado en dos partes para mantener la temperatura alta.
Decorar las hojitas de culantro picadas finamente. Servir."
"Yanukusun!
Hornota 180°C/ 350°F nisqaman ñawpaqta ruphaykachina
Chapusqa
Chay hak’uta mantequillawan yakuwan chaqruspa huklla masaman chayanaykikama. Masata 30 minutu samachina. Masa samaptinqa, 14 cm diámetroyuq pastelta utaq tarta moldeta llañuyachiy hinaspa chiruy. 15 minutupaq hornoman churay. Huñuy hinaspa reservay
Relleno
Alcachofa sunqukunata chawpi kuchuman kuchuy. Chaykunataqa huk sartenpi aceitunas aceitewan ruphaykachina. Alcachofa llampuyaptinqa, espinacata yapaykusun, hinaspa 3 minutu yanuna. Suyachiy.
 1 lata MILK CREAM, 4 cuchara  LIGHT, uhu, pacana, kachi, pimienta, nuez moscada ima chaqruna.
Chay moldeman hunt’achiy ñawpaq chaqrusqawan, salteado verdurakunawan ima.
Chay pataman parmesano quesota ch’allaspa 30 minutu yanuna.

Desmoldear y servir.","¡A cocinar!
Pre calentar el horno a 180°C/ 350°F
Masa
Mezclar la harina con la mantequilla y el agua hasta lograr una masa uniforme. Dejar reposar la masa por 30 minutos. Luego que repose la masa, estirar y forrar un molde para pie o tarta de 14 cm de diámetro. Llevar al horno por 15 minutos. Retirar y reservar
Relleno
Cortar los corazones de alcachofa en cubos medianos. Saltearlos en una sartén con aceite de oliva. Cuando las alcachofas estén suaves, agregar la espinaca y cocinar por 3 minutos. Reservar.
 Mezclar 1 lata de CREMA DE LECHE, 4 cucharadas de LIGHT, los huevos, las pecanas, la sal, la pimienta y la nuez moscada.
Rellenar el molde con la mezcla anterior y los vegetales salteados.
Echar el queso parmesano encima y llevar al horno por 30 minutos.

Desmoldar y servir."
"Yanukusun!
Huk mankapi wallpataqa 1 litro yakuwan churana. Chawpi ninapi 30 minutu timpuchina. Chuchuta hurquspa, phatmaspa waqaychay.
T’impusqa uhu
T’impusqa uhu
Uhukunataqa unuyuq mankapi churaspa qataykunankama par timpuchina. Chaykunataqa yaku timpusqanmantapacha 8 minututa yanuna. Tipqay.
Ch’uñutataq kuchuman kuchuspa, pecankunatataq t’aqa t’aqaman kuchuspa. Chay phatmasqa t’antata huk mankapi churaspa 1/2 vaso  CREMOSITA nisqawan yapaykusun. 10 minutu samachina, tukuyninpi llampuyanankama. T’antata chaqruspa huk laduman churay.
Huk mankapi aceiteta ruphaykachispa ch’uñuta 5 minututa rawrachina. Chaqruspa chay chaqrusqata mankaman kutichiy.
 Mankaman ajota, q’illu chilita, Sabor Gallina cubo nisqatapas churaspa 5 minutu pisi ninapi yanuna. Chaymanqa chaqrusqa t’antata, wallpa phatmasqata, 2 taza wallpa caldota ima churaspa pisi ninapi pisi pisimanta kuyurichina, chay chaqrusqa timpunankama, pisillata rakhuyanankama.
Wallpa chilitaqa 1/2 taza arrozwan, 1/2 yuraq papawan, 1/2 uhuwan, pacanas phatmasqawan kuska haywarina. Aceitunaswan sumaqchay.","¡A cocinar!
En una olla, colocar la gallina con 1 litro de agua. Hervir durante 30 minutos a fuego medio. Retirar la pechuga, deshilachar y reservar.
Huevo Sancochado
Huevo Sancochado
Sancochar los huevos colocándolos en una olla con agua hasta cubrirlos. Cocinarlos por 8 minutos desde que el agua hierve. Pelar.
Cortar la cebolla en cubos y las pecanas en trozos. Colocar el pan trozado en un bowl y agregar 1/2 taza de  CREMOSITA. Dejar reposar por 10 minutos hasta ablandarlo por completo. Licuar el pan y reservar.
Calentar el aceite en una olla y freír la cebolla durante 5 minutos. Licuar y regresar la mezcla a la olla.
 Agregar a la olla el ajo, el ají amarillo, un cubo Sabor Gallina y cocinar por 5 minutos a fuego bajo. Agregar el pan licuado, la gallina deshilachada y 2 tazas del caldo de la cocción de la gallina y mover lentamente a fuego mínimo hasta que la preparación hierva y espese ligeramente.
Servir el ají de gallina acompañado de 1/2 taza de arroz, 1/2 papa blanca, 1/2 huevo y las pecanas trozadas. Decorar con una aceituna."
"Papata qaranmanta kuchuspa kuchunaman kuchuspa, ch’uñutataq huch’uy kutukunaman, wallpatapas kuchunaman kuchuspa.
Huk mankapi aceiteta ruphaykachiy. Siwullata, ajota, q’illu pimienta, kiru hampita,  Sabor Gallina kubotapas 5 minutu rawrachina.
Chaymanqa wallpa picasqata yapaykusun, hinaspa 2 minutu rawrachina. Chaymanqa papatawan 2 vaso unuta yapaykusun. 15 minutukunatawan yanuna.
Chay wakichisqaman guisantes nisqakunata churaspa 5 minutu wayk’uyta tukusun. Chay wakichisqataqa ninamanta hurquna.
 Cau cau nisqataqa kuskan vaso arrozwan haywarina. Menta raphikuna phatmasqawan sumaqchay.","Pelar y cortar las papas en cubos, la cebolla en cubos pequeños, y picar el pollo en cubos.
Calentar el aceite en una olla. Freír la cebolla, el ajo, el ají amarillo, el palillo y un cubo Sabor Gallina durante 5 minutos.
Agregar el pollo picado y freír durante 2 minutos. Incorporar las papas y 2 tazas de agua. Cocinar por 15 minutos más.
Agregar las arverjas a la preparación y terminar de cocinar por 5 minutos. Retirar la preparación del calor.
 Servir el cau cau con media taza de arroz. Decorar con hojas de hierbabuena picadas."
"Fideos
 Huk mankapi timpusqa yakuyuq, fideokunata yapaykusun, hinaspa 10 minutu yanuna.
Tomatepa puntankunata kuchuspa muhunta hurquna. Tomateta, cebollatapas cubos nisqaman kuchuspa.
 Ruphay mankapi aceiteta yapaykusun, ch’uñuta, añuta ima ruphaykachina. Chaymanqa tomateta, huk sobre La Rojita, yakuta yapaykusun hinaspa 5 minutu pisi ninapi yanuna. Contenidota chaqruspa reservay.
 Fideokunata, puka salsata, ñawpaq ch’akisqa atúntapas haywarina.","Tallarines
 En una olla con agua hirviendo, agregar los tallarines y dejar cocinar por 10 minutos
Cortar los extremos de los tomates y retirar las pepas. Cortar el tomate y la cebolla en cubos.
 En una olla caliente agregar el aceite, sofreír la cebolla y el ajo. Agregar los tomates, un sobre de La Rojita, el agua y cocinar por 5 minutos a fuego lento. Licuar el contenido y reservar.
 Servir los tallarines, la salsa roja y el atún previamente escurrido."
